            1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61
 17     17110     10131     25359     24597      7000     31655     30623      5961     23325      6083      1531      4562      9386     13914      4081      2237      9730     28355      2138      8522     22493     18134      3643     32342      8726     21611       389      2956     17582     13254       934     22090      6319     23861     24251     23416     11705     32199      2127     27923     16689      3433     25814     18847     26952     30521      1002     32298     19198      4586     10029     21220     28394     24042     21675     12030     14078     14824     32540      2667     29000
 18     32721     18636      7885     17354     17498     19468     31622     25441     27239      5183     20869      2425     11021     29903      7328     25289     25013     20323      1629      6133      6510     12689     18496     25671     26933     29255     26759     17644      4967      4046      8060     15708      9624     19630      2064     11809     23814      8742      4196     12734     31840     27716     20192     30290      6157     24307     13564      9018      4344     19154      1760      3078     25880     23175     22558     13727       108     26618      7482     12316     26102
 19     11213     24573      9447      6114      3804     11227      7807      7466      6673     27640      2950      3413     30380     26740     21947      8662     13286      7914     21151     30006     16875     14137     28604      1902     11382     17288      7678      7196     30398     12828      4063     32010     11973     22528      4889     32069     19880     29356      6843     22351     14328     26784     24418      6122      4478     15984     19497     28738      5717     18805      4560     29696      2947     31941      6945      6615     18979     27628     23351     32519      2305
 20     24884     27668     30588      4286     18645     15714     22830     28517     31061     26633     10419     21235      8751     19098     32370      3955       163     17282     32348     24638     17229         6     20907     29706     14452     20609     12453     30753     28207     25088     13258     20659      8186      2821      2331     18104     26603      2306     10887      1300      6220      8196     10143     17242      1978     21691     18535      2275     21018     10211      2871     16847     30009      2608     21622      4475     22287     24458      8039     13701     16846
 21     10469     21689      3226     20718     13999      1000     26391     28083     30554     23568      6848     26751     22553     27793      1671     28744     21744     15551     32162      3669      1494     15796     22096     24337     30490     20054     17741     17424     24063     30454     18001     20866     30125      6798     25689     28002       369     27079     17439     27541     18746      6306     22151     22970     28424     22497     27592      3485     19916     20931     19906      3378       997      2428      6800     12974     20294       569     10368     15894     21566
 22      2633     19688     22917     18281     18413      4060     14838      1577     25638     14981     28903       134      1674      9911      9416      8346     31352     16067     15596      8477     23404       113     20940      2601     27224     10195     18207       100     14220     15889     31976     23227     14175     29931     19063     21129     20275     17761     26251     10459     12312     19523     15521     26821      3569      4031     13405     28584      7322     24929      5756     28471     12718     27008      2531     19480      4260     29630     32084     20185     13745
 23     24395      9184     23935     30516     19799     14161     20898      9294     10412      6926     24718      5021     30966     24717     32355      6452      5939     12663     21790     14192      7754     12658     22144      4551     18321      6522     28599     14035     27055      3930     31028     13028     19489      4596     22591     11188      8527      3088     18868     22558     30848     24505     30275     29180     24133     25010     24366     32758     31892     19732     12725      9552     14921       757     10994     25213      1712     28261     17583     17316      3490
 24     26927     29613     20886      6375     14125     19882      4326     12730     18879     24830     15776     26867     26950     25651     11610     23095     15779     12820     13264     19877      7744     28337      4010     17031     10117     20292     24271     32226      5103      1642     19101      7410      3855     24613     15006     29859     26212      2667      1206     14517     20492      4844     17709      4440      4185      8231     25856     29001     22782      3584      4999     20908     14286     24710      9337      5055     14727     22411     30092     18633     17808
 25      5564      3091     21047     28963      5275     25850     31075     20230     22005     27383      1209     16061     10393      1742      6944     27901     17130     18976      9449     10786      5509     19748     25734     18921     11282        69      8311      7359     17165     19910     18042     27791     10263      8019      1355      5835     20396      2861     28758     10258     18164     20730     10418     25280     28631       745     26421     11371      9243     17324     13541      6223     17303      4263     11598     32328     26228     31857     31060      2153      7910
 26      1532     26942     16352     26140     26083      6185     30319      8734     28701     11662     13309     30107     25182     25751     26247     31263     12497     15489     21304     14430      1928       243     18463      4239     30397     15857     25990     28165      4623     10501     30418     15057     15017      5409      6730     27773     25829     19292     20008     14898     24984     27446     25152     18733      4151     14976     32428     12650      1757       541     16537     31258     30794     24140     25701     19812     27251      2815       833     10059      8137
 27      4090     29687     14288     27136     21319     12686       226      2189      8625     18250     15296     17984     14242      4766     16834     13831      5230     18833     13380     22992     30143     26488      1252      7827     12921     12728     30746      9586     13712     10459      1521     11314     26898     17149      1366      9724     10835     16931     23673     23671     17898     22793     29089     23613     15523     15841     28716     24498      9761     16053      3168     22531     24346     21951     20650      3313     15867      8479     19827     21737       425
 28      6817      4095     23953     12132     26743      4676      4571      2490      4608     32377     15214      8592      9449     30517     15086      8605       867      2427     24430     29820     23793     13652      5658     18168     22530     14308      5187      2155     14629     25923      6361     18218     17078      1722     29514     31250     26412     14111     18634      9444      4071     25249      3374     23070     11291     15482     24588     14392     23539      5508      3834     20221     13092     31322     25401     20825     18874      2578     23126     15348     14499
 29     26168     19887      7162      3830     29255     15134     23499      5469     30508     19439     25363     32204     18257     30944     32353     20126     25071      4389     22904      3681     27894     15764     15379     28971      2947      2661     28692     24488     19888     15791     23387     22350     20878     16680      8977     19746     32337      2827     22589      1800     18139     24319     22830     30437     22097      2195     22493       157     11985      8116     19497     29250      4243     26420     13366     22894     29224     16418     22776     12094      5727
 30      4175     10305     18685     20970      8144     15967        51     16592      9726     31063      8582     26102      6987     23925     15527        20     17671     17096     23973      7947     15740     31296     11897     29963     29552      5934     19644     11526     28848     11996     21755     18277     29087     20079     22744      6734       928      5246     13821     11345       632     14504     29464     20486      2059      3293      1696     30933     12901      6946      6369     30729     13540     10253     23118     19709     15340     14227      6910     17816     29749
 31     27976     31429      4435     30256      8339     27464     19501      6244      1312     24060       875      5587      4322     26543      6906     13281     20817      3941     12841      9168     12282     14526     14111     23091     20646     24285     21009      1621     21868     28236     15681     30387      9747      2344      3369      6013      6721      5726      3142      8687      8102     13900     21959     28556     10337     11133      5115      9352     12172      1144     26899      6435     29783      2191     21100      9585      5417      6439      8450      7670     18654
 32     13818      8095      6004     28043      7780     26277     11323      2638     31731     22848      3199     30629      3303     11317      6627     32392      9161     21204     16897     25159     27536     20177     25615     25222     29473      9934     31586     16540     17507     22743      9830     30929     27117     17656      6805     19140     14149     11802     27484     28068     27790     27566      1846      4418     12942     14743     17926      5068     16405     29260      8133     24367      5805      2273     27254     16915     29971       237      5523      5627     27696
 33     20289     12284     31878     32329     25058      5548     22674     15132     16825     10728     27309     29329     10674     19748     12251     20721     31891      6524      3760     15090     24679      3801     16339      2827      4614     21843      7359     29328     20120     15422      7069      4625     32749       169     22064      8889     16801     22491      1883     19101     26695     28605      4474      2103      7581     29819     26433     17143     13584     31165     27525     15685     30430      4156      9744      5368     15026     24855      4944     11709     25391
 34     29303     19019     32628      1681     25719      1572      6353     11376      1061     26985     11886      7335      9205      9266      4790      2121     17950     22564     30827      9407      8594     20184     17998      6777      1466     29446     16728     19886     25650     12268     28431     14138     13060      2115     32712     18298     20548     11153      5974     10051      9478     25326      3216     22729     12340     18931      2454     27320     23533      7399     27659      4161      7525     24061     30650     24446     11261     19251     29884       585     18488
 35      5848     16139     14294     20328     31870     14014     25926      2322     13305      4661     14537     15127     14334     23015      2585      5397     27757     21882     27889     10707     12139     27193     14711     14921     11232     16801     31794      2448      3852     13403     23460     25460     21373     31644     20892     14652     19445     29402      5652     15528     14925      2307     23370      2479     15046     29367     23456     29839     24526      2925     19709     13008     29056      6329     32009     20880      5133     13064     28434      3615     29137
 36     22920     10616     17738     26519     15898      4751     27697     32657     11110       838     21700     25662     15940     28792     31278     13056     30741     20222       196     26616      7721      1042     19075     10615      3482     25169     18993     29634     27456     32524     28583     28528     28085     32284      3490     10823     17846      1498      7279     29353      6699     23552     24331     22480     19386     28844      2220     25135     21566     17531      7867     12257      6872     22715     30939     19312     29754      1436      7119     15384     26190
 37      1698      5293      2313      5077     17231      4771     12462     10202     22297     30707     10396     10433      5973      5527     30477     23301     13503      1612     21325     23230     17294     24807     24989     27121       198     25323     28467       367     26083     29385     16666     11236      8724     26662      2300      9154     28434     11282     26497     18786      6595      7129     31962     17727     10318     12363     27551     11881     19504      9944      6980        89      3864     23997     11509     19036      4250     29862     25106     23250     15586
 38     11337     27416     27543      9554      1218     16220      2111      5920     20378      4981     21777     11763     31482      9988     11685     17678     10422      2888      5665     29345     11633      1009      6655     31483     29273     26114     32719      8262     22413     29399     17909     10787     31343     19376       649     17945     14860     21760     24905     24646     25729     22999     23788     24202     19142      4277     20559      3111      5969     28312     19929      1841      9831     22061      6204      4389      7269     20624      9095     14175     12566
 39      9480      6038      4654     12716      5157     25480       187     17964     13975      5522     27247     21246     15312      2764     13864     15669     24142     18666     27680     14000     23686     32467     23072      2741     16605      9322     29742     21555      7190      2896     29198      2576     18234     17489      1275     10695      3367      6607       242     10931     23027     14815     13977     23722      3809      6064     30479     29784     30402     22833     25891     11176     14518     22626      9332      6367     19322     11355     13151     19379     20567
 40     17323      2690     10105     19257      5378     11978      1841     30164      6428     21277      9127     21043     29708     25771      5324     31598     32082      4005     20907     31168        44      1548      6683     29559       410     12660     13401       688     26748     13145     12568     24242     12535     16112     32141     21035     15356     29501      7889     21706      2713      4659      3293      9938      1170     23233      7917     21262     19859     22792      3169     21029     29781     13438     30560     23290     23159     16493     20651     22542     12884
 41     10605     29030      9024     12044     27266     27320      9293     17301     10502     14561     26454      7680     32136     20097     24151      9783      6635     13819     22020     20844     24718     11627       810      5461     10123     17313     29044     31818     25143     18056      8759      9164     22680      1537     15561     10379      9730     24691     16613      7640     26349     28746     16775     15640     12313     18463     27778     27613      4422      9030     18442      2312      9664     30997     24739     28706     29082     16148     10625      5195     10583
 42     19040     32331     28528     19280      5859     29796     20586     32476     31285     21504     21834     13061     32433      9877     11570     30656      6480     31706     23064     15131     18698     26035     19719      2084     13006      5425     11330      3418      3442      3174     27691     16031      3065     12349     16182     21611     22168      9873     14729     22882     24767     14737      4906     11461     16114     31832     25163     10421     13054     20799     12518     11027      6552     23457      6921     24125     20016     16118     27395     22852     18374
 43      6046      1748     17579      7675     17395      2075     29658     12779     14704      2694     30673      8643      9829      4261     18601      7077     30507     14105       544      4105     21198     31263     10866     10427     10524     24912     21002     18133     24748     15665      6238     30917      4820      6769      2388     21733     12725      2775     29348     23147      7108      7469     15449     19807     16192       780     11554      6187     31801      6030     24259     32012     28315     17986      1835      7870     13242      7077     15194      8642      9794
 44     13440      2001     21408     31799     10867     22535       326     22951      5495     29836     16577      9800     23426     25736     30233      9103     25298     23101     11859     31934       576      7294     18613     13360     31490     30096     15687      2075     18060      5105     18919     20329     11479      7538     30834      8559     27221     14312     31674     18291      1013      3404     13827     19791     15604     13118      6719     20444      3886      3166     29766     18679      3013     17070     13525     20787      1599      6036     20312     19257     17484
 45     28220     24141     15239      8860     27824     13686     10956     27975     16669     16288     17137     32010     25054     12559      4959      8505     29661     31743      2826     19193     28434     16250     31529     21930     31489     20304      2616     11319      5882     22217     27277      9938     28778     23032      3678      7000     10365     32019     12511     29391     30786     31940      7952      8785     16330     20277     22656       231     17909     32024      8793     24519     16060     23966     10859     10401     17125     30673     23448     14910     25423
 46     26119     13913     17483     15763     21889        77     17490      1066     24837     19469      2050     21865     17412     28986     28074     15444     19959     23533     24626     19009      9222     32445     22237      5387      7259      5068     28168       233      6870     13543     27817     18253     23841     20523     31482     15936     16469     11200      5182      9515     16698     10310     25014     31959      8883     12888     25392     23792     29567     26188     13504      4186     23747     26967       905       928     25632     22153      1178     21453      3900
 47      2625      4745      6938     13025      8722     17059      8277     25268     16179      8641     20184      8487     27864     11187     22645     28113      6145     17470      3702      7519     12322     15315     22395     15734     13099     22280     26569     28521     24722     26285     22456     19277     23834     30394     26545      5980     15924     29033      8962     11427     25179      5770     10217     15723     18127     27554     27931      9779     17527     14291     21186     11335      4869     23128     11289       190     10769     30924     16107     28813     25363
 48     24136     27115       223      1100     30721      2632     17867     21758     25420      9613     25158     10507     24022     32373      3027     28994     28116     17283      7495      1811      7904     22976     28509     19750      1747     21862     24215     27297     10247     31370      1752     15306     30977     23183      8577     22551     21714     24782      5857      4373     20717     22715     15579     27799     25494      5276     12243     25642     27124      8893     25308     30572     24215       674      8343     31246     24358     14939     25154     27666       796
 49     26027     30970     16318     16861     11024     10005     19435     11207      8604     31998      4847     14062     11410     26107     26737     12863     10379     28521     13029      6739     10893     30731     25381      9415     10820     14445     13166      3391     29696     12771     32439     25892     20467      7096     16181     23153     18197      2052     16215     32273      4448      6005       875     28361     15238      5058     22886      5586     12581     20236        41     29440     17767     32008     19068     25520     19584     13819       702     15631     21987
 50     21688     26594     32160     19246     18664      3438     17968     10348     11566      3820      8953     27212     16583     27634     24593       812     26521     28916     22740     23372     10537     16781     21279      3396     31092     32370      6032     25631     23510     14695     17694     20757     29776     23568     28362     17767     20501     32128     29012     19490     21347     15925       591     25535      1632     12167     29190      8312     10146     18525      4078      5429      3393     19584     15978     18354       228     10621     17544     18643     22139
 51     15716      9952     11183     20124     14581     13093     15046      2862     21753     11177      6008     20092     27207     26193      7248     17539      2809     12125     29950     30736     25873     15793     21543     27663     15269      7311      7526     24568     23524     15665     29894     31145     26835     19014     16547     11853     17892      3868     27492     32276      2879     13184      7394     13678     12688     23495     30760     19931     14440      3702      1213      1788     17851     32424     13973      6831      2311     20787     30411      5509     22087
 52     29212     20944     10369      2708     26189     23895     18739       177     18562      4337     31131     23277      2959     30653     32258     12116      2644      5341      1129     27734     19723     18960       440     24501     21089      2176     16126      9430       208     24597      1845     26786     12424     25383      4170     31995      7255     13914     13046     23774     27431     14902     20060     18706      2105      3486      4680      6695     15813     31578      9992      2933      4395     24290      4044     31716     23445     10009     16339       840      2692
 53     10908     21592     24417     11080     21661       733     14583      2044     20417     16935     12686      1509     27743      6762     19183     20880     17336     24556     17461     13648      5059       367     29725      3630     27075      8508     10333     24209     30777     16150     20999     26246     17758     13338     10445     18144     13065       210     21966     29718     26220     12972     14105     30511      5503      2032     21956      6088      1847     24211     12311     18488     22686     23449      9973     30266     10548     25411     26194     10853      2022
 54      2046     24431      6299      1321      4629      6198      6289     27380     15082     14947       287      9404     29243     13080     10394     32703     27783      3754     10351     13094     27866     20534     22314     12181      7292     32375     31707      1070     32651     24517     20519      7097     22990     18601     26410     18356     15455      2807     32646     26360     31151     15967     31201     23710     25217     24207     15715     29848     16827     11932     29293     32184     10302     17436     12374     27602     17436     30463      8687     23434     14245
 55     25902      4232      1837     18297     22679      2560     30866     25713     28310     15088     10621     17785      4054      6283     10763     31395     12291     26515     20457      5405      6466      4443     13726      4953     16484     27164      5930     28714      6143     10467     14014     11966      3795     21412      1078     10012      5289      1515     24848     12607     24137      3885     23636     16723     11463      8824     20086     23231      4648      8803     23499     28272      6829     15112     26755     16354     13161      7172     31870     20754     21736
 56     14652     27449     23117     26065     10995     11446     28310     18244     31344      2763      1894      5507     11794     21837     22948     26917     13252     32056     25915     21358     24674        81      8783     20158     27632      4962     21388     31501      8753     23873      9890     30149     30168     29790      9238     22019      9277     17101      5696     11504     15571     21933      8778     18815     22180     30917     18373     19121     15268     11115      1718     10934      5394      4019      7526     14703     16865     21133     24975      2622     29655
 57     14775     32572      7114     14475     23341     27955     30858     22479     30500      6712     16377     24331     18991     15894     11074      2280      8206     28521      3355       874     23128     24765      5873     23340     28345      3897     16276     18769     31151     24527      1027     29632     30331     26598     24222      5456     17652     23410     29621     16816     23348     24655     14949     29202     27278     23902     27756     17026     15097      8555     19357     17138     24692     19831     18155     26215     23446     18106     29859      6777     16052
 58     21997     22244     29239     17544     31944     28463     26156     27111     27360      3916       767     31913     22127      6614      1861     22440     11508     22291     30292     11191     22396     20150     10633     23003     14029      1745     14130     30985      3156      4484      2296     20875     12508     13755     30906     16402      5204      9631     29243      3997     21425       771     16823      1066     19614     24780     23774     31072     27540      3373     25563     16408     24788     27761     10007      8455     29348      7543     13787     13704     17661
 59     22691      6512     11098     21904     20085     30609     23543     23870      9657     32135     29550     24044     17633     13669     21088      1603     32503     11611      6982      7562     16802     13347     30127     26576       674      2421     25563     28979      2735     12029     21876     32074     20122     18456      3685     24409     15034     29321      6226     16159     12133     30966     29991     28988     13990     29321     30311      6333     25264      6285     30075      9345      6255      2119     27137     22503      9971      9991     23031      1494     27711
 60     16412      8238     20179     28313      7230     30219     20033     11922     10792     20584     30356     28231      4616      5877      7332      7141     16619     20012     13718     27648     30173      9481     16890     18097     29879      7865     27445      2794      2908      9598     15998      7567     30154     23420     11427     23250      3006     10485     28823     15408      4852      7657     27318     20304     31984      1418     25830     14133     16995     24208      5928     11605     22502     30773     30740     15942     10374     19665     28253     23751     12759
 61      6009     23118     12598     11417     17372     28899      8788      6826     13240      4018     11040     31358     30574     27593      1606     27532      9816     14435     14708      5626     15390      1925      5345     20009     10088      6174      8549      7122     22038      5912     18248     22593      9618     21330     15279     13770     32702      7506     26982      8168     31116     23172     32472     13016      5531     14663     19288      5586     10979     25977       849     16717     19994      3505     31871     31760      7817     24976      7721      6791     11841
 62      4413     15860      4231       185     22094     26993     22785      5318      5511     32552     21833      9377      4745     23986     24200     25412      7298      4539     10389      2784     30264     12387     21955     26544     14513      6786      9612      7368     29008     12441     20853      7610     16155     21930     24933      5121     18469      1572     26799     30568     25105     17660     13739      1179      8131      3624      9552     17224     17711      7965     20816     12389     18074     30804     11132      7107     26744     24278      5959     18688     15208
 63     24844     28083     19166     31204     18900      8717      2152     32580       728     21949     26588     17939     26920      4072     19010      7919      7313     14304     32588      3546     30294     23905      4767        87      3623     31581      5838      9520     23961      6931     27309     15379      5622     19155     15294      3222      1764     16539     22115     30462      1155      9454     31431     28708     18836       394     24191     17904     12184     21569        32     16031     10923     25016     24324     11077     11655     24303     29849     23651     11627
 64       168     16469     19220       331      1697     11090      8272     30646     27099      4988      7879     17465     23374     26878     27681     31876      8141     22108      5204     25503      8960     18283      4367     30649     20201     14943     15498      3975      5478     31996      3551     16604     30907     26977     17711     28419      1643      8718     12519     21340     19556     15640     13474       275     11993      7040      4478     16032     12552     31006     16091     30509     27005      8515     10338     20842      1671     13862     32441     29258     20919
 65      8412     13760      4526      8295     26607     13966      7851     22364     15547     23493     15919     14342      1321      5551      9604     27889     26424     24843     16279      2259      2587     24089       455     18067      9667     26449      2117     27584      2209      2904     23875     22125     28564     25010      6064     17153     26243     27381     17763     24094     26956     10803      3103     14567     24062      3135      6988      9106      6199     20636     16696     11265      5102     27249     25865      8493     17408     11884     16388      5625     29712
 66     20815     28781     23487     24990      6650     18865      5443     32241     10045      7366      7360      5779     26618     16338     12612     20974     10703     13638     23190     26587      4822     31684     20129     29240     26302      3971      2195     15793      5811     21032        15      5302      3036        77     11969     31624     16863     11934      5424     17071      4594      2573     27842     25175      2304       253     10701     18756       407     25733     26859      4431      5903      9825     13778     18183      3260     29178     18793     12369     21366
 67     13234     16817     30644     23720      2173     15993     31248     28606     17333      3913      5460      5627     21972     11512     28486     32641      4403     14181     15133     32637     14663      4226     11776     28439     27199     27766      2032     14719       557     29717      3450     18453      8185     21208     13887     13052      7766     13232     16383      5595     25037     23617     28346     32082     25913     25691      3384     17717      2208      5498     16057     27679     30218     14299     10773     22386      9272      1481     14759     11640     28981
 68     31033     32587     24959     11799     23194     32646     24719     19985     19457     10906     31683     14627     26608     28124      1070      3698     19188     19711     10158      9752       957     19248     11088     22115     23850     21466     10006     20948     31510     18805     26047     31429     10731      7543     25745     29011     22855      7788     12001     27140     27211     12185     10468      9084      6515     11622       267     12581     16557       451     29589     31313     17103      3802     27503      7899      4128      3627     15174     18625     26756
 69     11701     19295      1212     30726     26441     20611     24426     29665     29211      2746     25370     25767     29412     10601     32103      1106      5954     11711     20931      5216      9244     15799     13322     12909      5157     16387     20556     13953      1182     22154      3141      7400      9239      7990      3605     13247     20842      1148     14858     11999     32029     29314     15225     12571     29058      3221      6650      2245     19794     25887     20441      3376     24353      3574     24009     22855     13973     14374     29903       469     14765
 70     18563     28271     28980      2069      5286     29704     13496     31207     31562     29846     20878      4695     27336     16409     31790     23074     11232     26566      3178     19848     14113     17830      5734      7093     15185      5143     26542     32103     24980     15895     13848      1278      6851     19837      8627     28463     11279       371     27107     26358       896     20662     17536     31518     18960     17313       737     16329     20361     31237     16730     30874      6528     12066     21898     27418     30764     23334     22406     23549      6820
 71     17904     15836     19244     15287     15136     25979     23162     12796     20052      9530     21984     14723      7006     17028     12645     29233      1595     10983      6635     19023      1690      8441     14701      5715     23120      2902     29349      3208     26188      1843      2023     21155      2535      1334     30518      2016     19053     13623     14415     13057     32156      4322     19511     28862      8550     13470      3153     25277     27262     25645     12635     18340     23777     30970      5320     12050     16769     12040     19471     17154      8703
 72     20671     29164     23225      3107     18477      2456     11789     20484      8580     15154      7435      2226     24839      7415      2942      8977     13568     19670     13199      7894      9633     18038     25029     23949     25255     28134     27393     19948      4183     13024     29220       306     12753      8843      6350     11711     18985     22084     24298      2967     19511     29447     23110     27273     15444      7609     13668      4211     31920     23921       156      6222     26120       282      3583     18636     14697     16569      3874     18297      7475
 73     13168     30725     17309     31583      1466     26533      3438     30086      6254     28103     19089     31757     14753     14602     11072     24031     21646       428      7244     11131      1521      5714      1621      3503     27959     11206     15328     19368     18938     20067      9382      1885     10706      5152      3360      4475       527     12423     28771     29035     12872     23091     23443     21932     15696       426     23612     29144     11008     12914      9529     23627     17955      1003     25611     24403     12706     25974      3776      4801      9613
 74      6746      9147     13213      9808      3750      7731     20005     16936      4093     12417      7385     29887     13220     17564      6324     29372     22163     20125     20692     12061      6054     29554     26506     27311     26805      2688      1368     11228     22223     22183     14921        35      6976     17740     15167     21231     22307      5765     32243     16089     10889     32618     12671     15191     22727     30569     31634     18724     10235     26673     24478     21272     21985     16855     18048     25112      1490     17986     32374     18652      3135
